"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"danielmanson","23 November 2019","It's good. I had no idea what to expect in all honest. I am not huge fans of other movies by these actors, but this really worked. You could see the great chemistry between them all and it paid off.What I liked: I enjoyed how it didn't dither about at the beginning and got right into the action. Jack Black especially was brilliant and hilarious! All the actors/actresses were great but Jack Black stood out. Good mix of action and comedy throughout. I was on the edge of my seat (metaphorically) wanting them to escape the game.Negatives: not many to be honest, couple of scenes were slightly cringe, but not off putting. Same logic goes for a couple of scenes which felt dragged out.I think people need to forget about this being a remake of a classic film and treat it as a separate movie altogether. If you start comparing the 2 that's when it goes wrong.Ps.. Karen Gillan. Marry me please?Worth watching and will be going cinema for 2nd instalment.","
            8/10
            "
"Her-Excellency","7 April 2018","Who would have thought that the sequel to a much-loved classic would, in my opinion, turn into such a stand-alone powerhouse!?!Jumanji Welcome to the Jungle, does just that. Not only is it a virtual non-stop ride of hilarity and laugh-out-loud moments, and it is, but the chemistry among the adult cast members is practically flawless and lends to the easy banter and overflowing, genius, COMEDIC DIALOGUE which just SHINES. Every look, every gesture, every note from The Rock, Kevin Hart and Jack Black are perfection in that at no time do you doubt they are who they are supposed to be. Karen Gillan is adorable and gorgeous at the same time. The obvious fun they are having, despite what I imagine to be uncomfortable filming locales, is palpable, and as an audience member, _if you allow yourself to be_, you WILL be swept up and transported by it.So, why ANY low ratings?While the first Jumanji was 'fun', underneath the fun, there were dark layers. There is none of that here and perhaps, this is where some of the disconnect from its detractors comes from. Unlike the original Jumanji, Jumanji Welcome to the Jungle is a fun, and funny, film throughout. In closing, quite to the contrary of what a couple of reviewers are saying about Robin Williams, such as: 'he'd be rolling over in his grave (over this movie)', Robin Williams was one of those rare and amazingly special individuals who found joy and humor in most everything, and who chose to share that with those of us who are lucky enough to be witness to some of the favorites he left behind. Personally, I find it in very bad taste and verging on offensive, that those who seem to not share the capacity to laugh or live the way he did, or the ability to laugh with the rest of us, and who lack the gift of both being able to give or receive the very humor which exuded from Mr. Williams, would dare say he would be doing anything other than laughing riotously while munching on some popcorn and watching this film.Thank you, Robin Williams, for the precursor which was so fantastic, it brought about an equally wonderful sequel.You are missed.","
            10/10
            "
"AlsExGal","14 September 2020","Four high school students serving after school detention discover an old cartridge video game in the school's storage area. It's called ""Jumanji"" and when they play it, the game sucks them into its world, where they each inhabit a different character: nerdy Spencer becomes Bravestone (Dwayne Johnson), a musclebound action hero; football jock Fridge becomes diminutive sidekick Mouse (Kevin Hart); vacuous pretty girl Bethany becomes chubby middle-aged male scientist Prof. Oberon (Jack Black); and academically-driven Martha becomes Ruby Roundhouse (Karen Gillan) a sexy martial artist. The quartet learn that they have to complete the game to return to the real world and their real bodies, but they each only have 3 lives in the game; die 3 times in the game, and they die for real.I saw the original Jumanji movie back in 1995 and liked it a great deal and I was therefore dreading how a reboot would taint the memory of the original. I have to say I was pleasantly surprised by this one. The dichotomy of the characters in their real lives versus their in-game personas is funny and well exploited, and the conventions of video game storytelling and set-up are also lampooned with some wit. Johnson, Hart and Black are all performers who can be over the top, but the material calls for it here, and they all exceed, as does Gillan, especially during her hilariously awkward ""seduction"" scene. Even if some of the animal peril is blatantly more CGI cartoonery, it also fits with the videogame milieu. This strictly popcorn fare, but it isn't brainless, although it's a bit predictable. Still, it was much better than expected.","
            7/10
            "
"markovd111","2 November 2019","When I saw new ""Jumanji"" movie is in the works and saw how does it look like, I was pretty irritated. I didn't see the need for it and couldn't possibly see it at the same quality and style as the first one. Expectations sank even lower when I found about the cast. And then, 2 years later, I finally watched and, surprise, it's fun. It isn't something that will make you rolling on the floor from laughing or make you cry, but it's an enjoyable ride, actors actually aren't bad and wooden, so you will find yourself grinning a lot, particularly at the male part of the cast, which is awesome, especially Kevin Hart. Watch it with a good friend or a loved one and enjoy. It's not a masterpiece, but it's not just a dumb Hollywood blockbuster either. 8/10","
            8/10
            "
"comps-784-38265","19 December 2019","I took one look at the trailer and was certain it would be rubbishFinally watched it on TV and was surprised that it's good solid family entertainment.Not outstanding but a respectable 7 stars.","
            7/10
            "
"Jack_C_","24 December 2017","We were pleasantly surprised with the quality of this remake. The jokes are nonstop and witty. Characters are well fleshed out with each person playing a physical opposite of their persona outside of Jumanji. A little homage is paid to Alan Parrish at the beginning of the movie, and the movie continues, 20 years after the events of 1996.The Rock is always fun, but shines as a scared nerd with no confidence. Karen Gillan is adorable as the socially awkward nerdy girl. Jack Black playing a self obsessed popular girl is laugh out loud funny. Kevin Hart as a shrunken jock with many assigned weaknesses is classic. All in all a nearly perfect family comedy that rises above lowest common denominator humor. Worth the trip to see it on the big screen. You do not have to see the original to appreciate it. Not quite 10 stars because adult re-watch value is just not there.","
            9/10
            "
"TheLittleSongbird","20 May 2018","Will admit to not expecting much. The advertising didn't have me completely sold, was worried as to whether it would be fun or turn into puerile immaturity and wasn't sure about the cast entirely. Saw it anyway being someone who wanted to see as many 2017 films as possible, who has seen their fair share and likes films intended to be escapist fun, who loves the Jumanji premise and who has fondness for the Robin Williams film.'Jumanji: Welcome to the Jungle' turned to be much better and far more enjoyable than expected. It may not be a masterpiece or great, but it clearly strived to be glossy escapist fun and succeeded very well in that. Do prefer the earlier film but other than the title and the basic premise 'Jumanji: Welcome to the Jungle' to me seemed like its own take and should stand on its own. Can see definitely why it won't appeal, and hasn't appealed to (though on the most part have seen more positivity than negativity), some. Didn't care for the first twenty minutes or so in the real world. It didn't have an awful lot of momentum in a first act that was just setting things up and took too long to do so, was awkward at times in the writing and the acting was far more comfortable and interesting once we got to Jumanji. Most of the performances are fine once the film got going, but for me Nick Jonas was very bland and while more subdued than he usually is Kevin Hart for me sometimes grated (though at other points he is amusing), the rapid loudmouth shtick is going to be a very acquired taste. However, 'Jumanji: Welcome to the Jungle' was highly successful in its aim of being glossy fun escapism. The film is two hours but once we're in Jumanji they fly by. Although the story can be extremely predictable and the outcomes not surprising, the lively energy, the exciting thrills, thrilling action and suitably nail-biting but not intensely so sense of peril more than compensates.As do the witty script, that has the right dose of humour and surprising heart and even with the profanity from Hart it doesn't ever get too crude or puerile, and ace visual effects. Jumanji is colourfully rendered and mostly the film is nicely shot and more than capably directed. The music is rousing and pleasant to listen to and the ending is cosy and surprisingly poignant, which one doesn't expect yet it doesn't jar too much. There's even a nice Robin Williams/Alan Parrish tribute/homage touch, that is worth looking for if especially observant.Dwayne Johnson smoulders in intensity and charisma, in terms of acting style it is very familiar territory for Johnson but he does it well and that's all that matters. Karen Gillen more than holds her own with the other leads, with a good deal of sass and charm (her flirting/dance scene after being taught to do it is one of the film's highlights). Bobby Cannavale is suitably formidable villain, if somewhat underused. Absolutely agree with everybody who says that Jack Black steals the show, he has the funniest lines and moments (which are plenty) and it is perhaps his best performance since 'School of Rock'. The character interplay, which the film is heavy on, really sparkles.In conclusion, fun and surprisingly good film if not a great one. 7/10 Bethany Cox","
            7/10
            "
"mathijsschaap","6 January 2018","We went to see this movie today with the kids, and MAN: I had a blast! I expected it to be a nice movie, but I was so surprised by every single minute.Jack Black is at his best in this kind of comedic roles. He's hilarious in this one too. Dwayne Johnson and the rest also give a very entertaining performance.It is so much fun: I cannot stop talking about it!I did have to force myself to stop thinking about Robin Williams, for emotional reasons. This movie is a great tribute to Robin.Yes, it does have some continuity problems with the Robin Williams movie, but it's forgivable. The movie is full of action, good humor and special effects you'd wish they had back in 1995 with the first movie.'Go see it!","
            10/10
            "
"SnoopyStyle","13 March 2018","Spencer is caught doing the homework of the football playing former childhood friend Fridge. Self-obsessed Bethany disrupts a test with her phone use. Self-conscious nerd Martha insults her PE teacher. The four kids get detention and forced to clean out a room in the basement. Fridge discovers a video game called Jumanji in the basement junk. When they start it up, the four kids are pulled physically into the game. Spencer is given the avatar of Dr. Smolder Bravestone (Dwayne Johnson) with no weaknesses. Fridge becomes the diminutive sidekick Franklin ""Mouse"" Finbar (Kevin Hart). Bethany turns into Professor Shelly Oberon (Jack Black) and Martha into scantily clad fighter Ruby Roundhouse (Karen Gillan).This is simply fun. There are good laughs. The chemistry of the four leads are amazing. The Rock and Kevin Hart have been here before. Their charisma is off the charts. Jack Black is great playing a girl and he has a great scene teaching Gillan to flirt. Karen Gillan has the quirky comedic skills in a super cute package. The only squeaky wheel is Nick Jonas. I'm not convinced of his acting skills. In that smaller role, it would be amazing to have a big cameo like Sly or Schwarzenegger. Nick Jonas is both stiff and lacking. It's a smaller role and a small problem. All in all, this is great fun for the family.","
            8/10
            "
"mikayakatnt","4 November 2019","This is such a dumb movie but honestly that's what makes it so great. Jumanji: Welcome to the Jungle is a fun movie that doesn't take itself seriously and it shows. Of course it's a twist on the original Jumanji movie that will never capture the same magic. But for everyone expecting it to be a giant flop, it ends up being pretty fun.3.5/5. Above expectations.","
            7/10
            "
