"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"cricketbat","21 October 2022","I was shocked by how much I disliked Black Adam. I didn't really have any expectations for this movie, as the only real knowledge I have about the character comes from the Injustice video game series. However, Black Adam takes all the elements of bad superhero flicks and crams them into one loud & messy movie. While it does have some exciting action sequences, it also had too many characters, not enough backstory, heavy-handed messages, bad acting, forced humor, sloppy editing, awful dubbing, and an overreliance on CGI. I spent the first half of the movie confused, and the second half annoyed.","
            3/10
            "
"Fluke_Skywalker","6 January 2023","Black Adam is the cinematic equivalent of a tuneless marching band running endless circles around your increasingly throbbing head. The score is omnipresent and oppressive. The action frantic and relentless. The entire thing just keeps beating you over the head until you throw up your hands and surrender. And then it knocks you to the ground and starts kicking you. Ultimately whatever virtues it may have had are buried under the rubble from its nonstop assault on your senses. Watching this film was like boxing a 'roided up octopus.And speaking of 'roided up, The Rock is the fulcrum of this mindless drivel, and with his relative charm buried deep beneath an ever-present and sweaty sneer, the film's only notable asset is extinguished. That the recently announced reboot of the DC Universe renders the entire affair utterly moot is simply the last shovelful of dirt on its grave.From start to finish, Black Adam is an unpleasant experience. Bad script. Bad acting. Bad CGI. Bad movie.","
            3/10
            "
"martinrobertson300482","13 November 2022","I hoped ""Black Adam"" would be a decent entry in DC's recent output as its linked with ""Shazam"" which might be their best recent movie. But nope. Its another CGI filled dud.On the plus side there is an effort put into the story and Dwayne Johnson and his rediculusly strong shoulders buldging from his costume are 100 percent real amongst all the boring CGI. But all the team building with rubbish characters no one cares about has already been DC's downfall with the justice league, Suicide squad and even that Harley Quinn movie. And it's takes up too much time here too.There's not enough time dedicated to making us care about any of these minor characters and their random powers. Just action, action, action that doesn't matter when you don't care about anyone in the movie.There's some decent gags in the movie I suppose. But overall its just alot of green screen and feels like your watching a computer game instead of a movie. It's more ""Aquaman"" than ""Shazam."" So if you liked that one you'll probably like this.","
            4/10
            "
"pc95","18 December 2022","Large budgeted and badly disjointed, ""Black Adam"" belongs in the poor category with the likes of ""Justice League"" and ""Superman vs Batman"". The story is hackneyed, and the dialog is eye-rolling with terrible worn out humor. It feels like a bad imitation of better Marvel movies. Its too bad as there are some good costume and character designs. I don't think a an ancient awakened god would be spouting out sarcasm of today hipsters. It is better than WonderWoman 1984, but that's not saying too much. Alot of actoin scenes with not much to show for it, I'd give this one a miss and rate it a low 5/10.","
            5/10
            "
"stsorrell","18 December 2022","While Dr Fate may have been introduced first in print, for those of us who aren't followers of the comics, Dr Strange is the sorcerer that we identify more with, simply because we got to see him first and certainly with more depth. Everything about Black Adam felt like a low budget remake of Marvel characters. Hawkman even looked similar to Anthony Mackey. Atom Smasher was far too much like Ant Man. Hawkman's compound might as well been Dr Xavier's home for the X Men, complete with the aircraft rising from the front lawn.Like so many others have reviewed, the Justice Society was simply thrown at us as if we were to already understand who they were. There was no character building whatsoever, other than a one or two sentence dialog that tried to briefly explain how they came to be superheroes. It was extremely rushed.As for Black Adam...I usually like Dwayne Johnson's films, but in this one, he was stiff and wooden. The other characters...of course Dr Fate was a standout, but it was as if the writers purposefully wanted us to hate Hawkman. His attitude and cockiness were unbearable, knowing that he would be easily defeated by the likes of Black Adam. Perhaps in my mind, I was comparing him to Marvel's Falcon and his much more personable and likable demeanor. Either way, I just wanted to see him get his ass kicked.All things considered, I was simply underwhelmed. 2022 was not a good year for the superhero genre.","
            4/10
            "
"ObsessiveCinemaDisorder","28 October 2022","While Black Adam isn't a groundbreaking top-tier superhero film, it is an entertaining superhero movie that makes it up with the charm from star Dwayne Johnson as an anti-hero and guilty pleasures including non-stop action, irreverent humor and a high kill count.Dwayne Johnson carves out his own superhero niche with his anti-hero, a concept which the film wholeheartedly commits to. People die in this movie. My mouth dropped at Black Adam's kill count. As the numbers increased, the movie set itself in a tonal sweet spot that Marvel won't go near and Sony hasn't quite achieved with its Spider-Man villain films. What Black Adam does is downright wrong, but it's entertaining as heck to watch it play out.The current culture has become so comic book literate where the story can just introduce a superhero team, the Justice Society of America, without any introduction. You get to know this team in the midst of the action, wondering about their origin stories or how they got their powers. It works, despite being overly stuffed.Pierce Brosnan as Doctor Fate is quite the scene-stealer, providing gravitas that grounds the conflict at hand and adds another level of seriousness. He's a fascinating character. I hope for a Doctor Fate solo movie with Pierce Brosnan.Aldis Hodge's Hawkman is a great straight man to Dwayne's Black Adam. The heart of the movie comes from the moral argument between them. One character wholeheartedly believes in killing and the other is completely opposed to it. To quote the Dark Knight, this battle of wills is an unstoppable force meeting an unmovable object.In essence, Hawkman sets up for Dwayne Johnson to be Black Adam. The character doesn't want to back one step from his principles and just doesn't give a rats. It's the best part of the film and often hilarious.The villain was not memorable and was just a big baddie for The Rock to fight in the climax. That said, this villain is no worse than the standard Marvel villain in an origin story.In conclusion, Black Adam is a fun movie for a one-time watch. I enjoyed it with my inner Simpsons Comic Book Guy turned off and had a good time.I suspect I won't have the first time experience on a second watch. The seams would crack. I would see that the young JSA members were cast to appeal to the teen demographic and a boy was placed at the center of the story to appeal to children, and the fact that the same boy does a voice-over in the opening credits is odd. On a second watch, I would realize it was all a bit silly.Dwayne Johnson claims Black Adam as the mark of a new era for DC. The film does feel like a rechristening of the DC universe in a soft reboot type way. Now, the plan seems to be moving away from the Walter Hamada era. It always seemed weird to me how Hamada diverted from Superman, Batman, Wonder Woman stories and just focused on side characters and Elseworld projects.I am glad plans are being made to get the DCEU going again. Dwayne Johnson bringing back Henry Cavill's Superman back to the DCEU is a great marketing idea that will guarantee butts in seats, even though it's hard to picture Dwayne Johnson as a star and producer willingly losing the fight.","
            7/10
            "
"StantonDrew","17 November 2022","Was this script the result of a 5th grade class project?It starts with some of the weakest, most contrived world-building I've seen. Moves to some appalling acting, from various children and bad guys especially. This gets compounded by some of the worst dialogue since George Lucas last wrote a screenplay.And it just continues to get worse from there.Now I usually enjoy the dumbest nonsense that Dwayne Johnson stars in. Even Skyscraper, Rampage & San Andreas were watchable, despite being dreadful movies. But there is no saving this one.This latest poor effort from DC makes the most braindead Fast & Furious entry look like Shakespeare.Looking at the director's previous credits it should come as no surprise that this movie is just plain bad.","
            3/10
            "
"ryanpersaud-59415","7 January 2023","Black Adam reminds me a lot of X-Men: Dark Phoenix, in that it feels almost like a studio obligation more than it does a passion project. Every aspect of this movie feels slightly phoned in: from the inclusion of the Justice Society, to the final Act, to most of the performances. There's very little passion or enthusiasm here and by the end of it, I was honestly happy it was over.For such a high profile, big budget release, it's honestly shocking how amateurish this movie is at times. The action sequences are flat out terrible, considering how low the stakes are most of the time (i.e., we know Black Adam is going to defeat 99% of the people on screen), and punctuated with endless slow motion sequences that scream a lack of action film making competence.This movie feels like two (or three) films smashed together. We have Black Adam, we have the fictional country of Kandaq and its struggles, and then we have the Justice Society. I guess these elements keep the film from being totally forgettable, but I couldn't help but feel there was a better way to tell this story.It's also really poorly paced, having at three different moments where I thought it was over, only for another plot point to suddenly become relevant again. The dialog is unreal...it's so stilted and silly at times, like when Hawkman (played by Aldis Hodge) lectures Black Adam about ""extrajudicial killing"" mid flight or the constant groan inducing attempts by Noah Centineo's Atom Smasher to give the film a light hearted, Marvel-esque feel with bad jokes. The worst has to be Amon (Bodhi Sabongui), the son of ""kinda sorta"" heroine Isis (played by Sarah Sahi), whose lines are so bad I can't tell if he's a bad actor or a CG generated being with Chat GPT lines programmed into him. I'm serious.I don't like harping on child actors, by my God, is Bodhi Sabongui bad here. So bad that he actively ruins most scenes he's in. But, to be fair, no one, not even The Rock is particularly good in this movie. I've been hearing praise for Pierce Brosnan, but honestly, his hammy performance was legitimately hilarious to me, especially by the end.This movie isn't all bad. There are some cool sequences and shots, the movie does at least explore the morality of a hero killing people and questions what other movies/comics establish as the ""morally right"" approach. I also liked the not-so-subtle commentary about the Justice Society of America essentially invading the fictional Kandaq (where this film takes place) and telling them they can't have a protector of their own. And, some of the actors are just naturally likeable as well; Hodge and Johnson do have chemistry and had one of the best relationships of the whole movie.But honestly, Black Adam feels like another paint-by-numbers, forgettable superhero flick that represents the end of the failed DCEU experiment. As a huge DC fan, it's sad to see some of these characters get such lame on-screen introductions. It's even sadder to know that this movie will be the last time any of us see Henry Cavill as Superman, which...is frankly quite depressing.","
            4/10
            "
"HeroOfTomorrow","28 October 2022","There's a moment, mid-way through this monstrosity of a movie, where Hawkman tells Black Adam that ""heroes don't kill people!"" The irony of hearing him say this after they accidentally level several city blocks and create massive collateral damage is so hilariously contradictory, the fact that they don't waste another tired joke on that is astounding.This movie... I really don't know where to start. Characters so paper-thin you can (sometimes literally) see right through them; a structure that continuously has you asking ""when is the story going to start?""; a visual miasma of ridiculously dated CGI (yes, show me the speed ramp/slow down EVERY TIME we see cyclone, that won't get old at all!); a complete lack of backstory (what... is... Hawkman?); a villain who can, apparently, just be ripped in half; and technical errors so egregious, I can't believe the incorrect ADR and absurd editing choices got into the Final Cut without the editor deliberately playing a prank on the audience.And the JOKES. Oh my GOD. So many, and they're all so BAD. Not just bad: they completely deflate all tension. Why should I feel stress for a child character if he's quipping all through the drama?Oh, and remember when the rock had a personality? Pepperidge farm remembers. And Pepperidge farm also remembers when movies made sense. ""Let's put black Adam in a cage forever!"" *five minutes later* ""we need black Adam to save the world! Release him from his cage in a ridiculous slow-motion sequence in which a de-powered Black Adam still manages to beat a dozen armed swat teams at a black site!""And what on earth is Black Adam going to do against SUPERMAN?!What a garbage fire.","
            2/10
            "
"AdrenalinDragon","28 October 2022","Thought Bland Adam was another misfire for the DCEU Universe. Basically a poor combination of Justice League, Eternals and Shazam! This is a movie I probably won't remember at all in the near future. Too much slo-mo and lack of fun. Pierce Brosnan was probably the highlight as he gives the film a little bit of a spark to the cast of characters.Otherwise very dull characters which you care little about, wonky special effects in places and humour which doesn't work most of the time. Dwayne Johnson has little charisma in this film and I simply didn't care what happened. This was overall kinda bad honestly.3.5/10.","
            4/10
            "
