"Usernames","Reviewer_Date","Reviewer_Content","Rating"
"Iam-Not-In-Danger-Iam-The-Danger","24 February 2020","This movie contains some throughly enjoyable moments that are on par with some of Downey Jnr's highlights as Tony Stark. The relationship between Pepper and Tony is taken further and built upon brilliantly in this movie. It contains some really cool and innovative action scenes which are taken for granted now. However the poor villain, a pattern in Iron Man Solo Outings, and the lack of direction meant this is easily the poorest Iron Man Performance. It's still an entertaining watch but you wouldn't be wrong if you skipped this movie when rewatching MCU Classics.","
            6/10
            "
"Cirene404","30 May 2019","Positives:
Robert Downey Jr.The first actIdeas with potentialNegatives:
Second and third actsInconsistent story and pacingVillain(s)","
            3/10
            "
"dbborroughs","5 June 2010","Disappointing and uneven follow up to the powerhouse of a few years ago.Jon Favreau proves that his ability to direct a solid movie isn't there. forgive me the only film of his that I think worked start to finish was the first film.The pacing is all off with whole sequences going on too long or not long enough. Honestly most of the first half is numbing with the result that I wanted to curl up and go to sleep.Realism is out the window with several sequences looking more like the sort of things we'd make fun of from 1970's movies (The race sequence prior to Iron man is just silly- though once Iron Man shows up it's note perfect. And bits of the final fight sequence screamed Conquest of the Planet of the Apes) This is a movie of pieces. the script is good, but badly directed. There a moments that are on target with the end of the race sequence excellent, The creation of Bullwhip into a real villain, Black Widow kicking ass, and other small moments that show what the film should have been. Unfortunately Favreau in putting the film together ruined it (Or was it th editor?) The performances are excellent for the most part with the exception of Paltrow who has become shrill and Sam Rockwell who has been given nothing to do so he does shtick.This will play better on DVD where you can zip past the dead spots.","
            6/10
            "
"ma-cortes","27 June 2011","A well-intentioned and interesting plot based on the characters created by Stan Lee and Jack Kirby , following the events developed in ¨Iron Man I ¨ and repeating the main actors . Because of his superhero alter ego, Tony Stark (Robert Downey Jr) must contend with deadly issues involving the government, his own friends and new enemies . With the world now learns of his dual life as Stark is submitted to the armored pressure from the government, the press, and the public to share his technology with the military , being only helped by SHIELD agency formed by colonel Nick Fury (Samuel L. Jackson) and Black Widow (Scarlett Johansson) . Unwilling to let go of his invention, Stark, along with Pepper Potts (Gwyneth Paltrow), and James ""Rhodey"" Rhodes (Don Cheadle) at his side , must forge new alliances and battle evil enemies as Vanko (Mickey Rourke) and Justin Hammer ( Sam Rockwell). Heroes aren't born !. They're built !. Get ready for a different breed of heavy metal hero !. Prepare for heavy metal! Even heroes fall !. Unleash the power behind the armor !. It's not the armor that makes the hero, but the man inside !Nice performance by Rober Downey Jr as superhero Iron Man, the billionaire inventor named Tony Stark who faces powerful enemies . This spectacular comic-book movie contains fantasy , noisy action, humor , romance , thrills and is pretty entertaining. This is a dynamic, fast- paced and fun movie . Full of action , it's complemented by exciting images, thrills and breathtaking scenes , including groundbreaking computer generator special effects . The picture relies on terrific flying sequences , rousing fighting , and relentless pursuits . The attractive story is made believable and the script has more pace to it than former film titled ¨Iron Man I¨ also directed by Jon Favreau ; both movies result to be an intense variation on Stan Lee's comic book creation . Our superhero, well incarnated by Downey Jr dons splendidly the metallic armor , the reason for he can be identified the rest of his life as Iron Man and he deserves credit for remaining true to character . Breathtaking array of technical effects with impressive set pieces illuminate the Iron Man's full-blown adventures . The amazing plot is pure entertainment and with screenplay by actor/writer Justin Theroux , based on characters created by Stan Lee , as usual appears in a brief cameo . Overwhelming production design , though full of digital effects with impressive scenes and portentous fights . Rousing musical score fitting to action by composer John Debney and colorful cinematography by cameraman Matthew Libatique .The motion picture was professionally directed by Jon Favreau , an ordinary secondary actor who triumphs as fimmaker with ¨Zathura¨, ¨Elf¨ , ¨Iron Man I¨and of course in this ¨Iron Man 2¨ .This big budgeted movie was compellingly made by John Favreau , directing brilliantly this superhero story . Subsequently , Favreau shot other spectacular and family movies with similar technician and artistic style : ¨Jungle Book¨ (2016) and ¨The Lion King¨ (2019) . Rating : Interesting and passable sequel .","
            8/10
            "
"xamtaro","4 May 2010","The sequel to Marvel studio's surprise hit of 2008 is here, bigger than ever. But is it better? After the surprise success of Iron Man, expectations for the sequel, from both movie viewers and long time comic books fans, were no doubt high.Picking off where the first film ended, billionaire genius Tony Stark has just revealed to the world his identity as the armor clad superhero, Iron Man. Now he reaps the whirlwind consequences of his actions as both the military and unscrupulous competitor Justin Hammer vie to obtain the secrets of Stark's Iron Man technology for their own gain. Too add to the flames, Stark soon discovers that the very technology that is keeping his heart alive is also poisoning him. As he tries to salvage a life that is slowly falling to pieces and his growing feelings for his long time assistant Pepper Potts(Gwyneth Paltrow), Starks has to contend to with a foreign weapons genius named Ivan Vanko who seems to bear a deep seated grudge against the ailing billionaire; a grudge that stemmed from the legacy of Tony's father, Howard Stark.Whatever was good in the first movie is carried on in true sequel fashion. The acting and chemistry among the cast is definitely the highlight of the whole film. Robert Downey Jr IS Tony Stark, though less of a playboy following his ""change of heart""(figuratively and literally) in the first movie, but still the same wisecracking, smirky eccentric. Everyone is just so natural in their roles including the villains, especially The character of Justin Hammer, played by Sam Rockwell. Hammer had all the makings of a silly one dimensional villainous caricature, but manages to be a well rounded scumbag of a corporate competitor, providing some excellent comic relief while still presenting a credible threat to the hero.That being said, the script is just littered with witty banter, intelligent jokes and a good number of ""Easter eggs"" for the long time comic book fans. Writer Justin Theroux had a good number of interesting themes going for this movie, most notable of which is the theme of ""legacy"", of what people leave behind when they are gone; their impressions on their successors and how the effects of their past actions would echo down the years long after one has passed. Stark himself, faced with his inevitable demise, does not want to leave a legacy of death as a weapons designer. Aside from that, we see how the legacies of both Stark's and Ivan Vanko's fathers have affected their present lives.Now, Vanko's (played by Sin City's Mickey Rourke) is a truly tragic tale. It is easy to pass him off as a ""darth maul"" type character with no other purpose than to provide the hero with a powerful opponent for the mandatory climax. But to the more attentive viewers, one can see how Vanko is basically the dark opposite reflection of Tony Stark. Both are geniuses, both are where they are because of their respective fathers yet different circumstances in life brought them down entirely different paths. The parallels between his origin story of creating the ""whiplash"" powered armor from scrap, getting captured(in a similarly explosive manner) in order to develop weapons for one man to bring down his competitor all the way to his cunning escape plan and his mistaken impression about his dearly departed father are all uncannily similar to Tony Stark's experiences in the first movie that led up to his debut as the hero Iron Man and his mistaken impression about his own father.The one thing viewers might not appreciate is that this sequel seems to lack that sense of ""fun"" that the first film had, taking on a more serious tone at times to dish out the more complex themes and even a romantic sub-plot. It really is too bad that the more complex themes are there but not really expanded upon. This leaves a lot of ""could have been more"" moments hanging by the time the show ends. At least the action is satisfying high octane eye candy as Jon Favreau's steady directing hand brings out the intensity of every battle scene. Special effects are top notch as usual except for a couple of cartoony looking moments that do require some suspension of disbelief, for example the briefcase that transforms into an iron man armor with armor parts seemingly appearing from out of nowhere.By the time the all too familiar final battle is over and the credits start rolling, one gets the impression that Iron Man 2 could have been a lot more than the sum of its parts. A little longer running time would have fixed most of the story kinks but perhaps Marvel is merely using this movie as a money generator and spring board to something greater.(Blatant teasers are thrown into the narrative itself almost like a running catalog of future Marvel film projects).Topping the first film is no easy feat and of course Iron Man 2 would disappoint a few here and there. But it is nonetheless one of the most entertaining comic book movies that mixes action, wit, drama and cast chemistry so well. If widespread appeal is its purpose, then Iron Man 2 has fulfilled that function magnificently in that even a newcomer to the franchise can kick back and enjoy the show. Marvel studios has started a new legacy beyond great comics. Here is a legacy of comic book movies, true to the spirit of its source material yet tailored nicely to the tastes of the modern movie audience.","
            10/10
            "
"DICK STEEL","29 April 2010","Downey Jr continues his smirky role as the playboy and laissez-faire persona of Tony Stark (no Downey Jr, no Tony Stark I'd say!), now facing a life-threatening intoxication situation, and constantly having to deflect the US military's interest in and compelling him to turn over the Iron Man suit. Then of course there's the romantic angle with Gwyneth Paltrow's Pepper Potts who gets expanded screen time here, to whom he hands over Stark Industries to by appointing her CEO. I had enjoyed all the scenes between Paltrow and Downey Jr as they shared great chemistry, and didn't mind that the film took the pause from the action to throw the spotlight on this. In fact, Stark is pretty much the Santa Claus in giving away things, having to face his mortality and to put some business continuity plans into motion. A little too bad that the scene in the teaser trailer highlighting the banter in the plane didn't make it to the final cut.But all work and no play makes him a grumpy soul, so enter Scarlett Johansson as Natalie Rushman, his new sexy private secretary from the legal department who is more than meets the eye. Johansson has now proved that she's got it in her to be in an action film, and her limited action scenes here will surprise and leave you breathless. Mickey Rourke seem to have picked off from his Wrestler role in playing the Russian villain Ivan Vanko, riding on the parallel and theme of Fathers and Sons, whose father was seemingly played out by Howard Stark, and is finding it apt to finally take it out on Stark Industries using similar technology the earlier generation developed, and now backed by sugar daddy industrialist Justin Hammer, played by Sam Rockwell. Rockwell plays the classic business rival bitterly humiliated by Tony, and from observing Ivan's potential, decided to bankroll the Russian's capability for the US military. Hating a man in common make for strange bedfellows indeed.Cameo wise, there's Stan Lee if you can spot him in a brief moment, probably his easiest and non event-filled one to date given he's just standing around, Samuel L. Jackson continuing his role as Nick Fury of SHIELD, now assessing Tony Stark to determine if he's indeed the man they need for his top secret boy band, Gary Shandling as the senator pursuing the weaponization of the Iron Man suit for the military, and of course, director Jon Favreau himself who continues his role as Stark's chauffeur Happy Hogan, and you can tell his acting itch from his expanded role in getting in on the fun rather than just solely standing behind the camera.But of course the tongues will wag whether Don Cheadle can pick up from where Terrence Howard left off. Whatever the reason may be for the latter's departure, he will likely be kicking his behind now for leaving the project. That anticipatory look Rhodes had in the first film at the metal suit worn would bring a smile to any fanboy in the know of what would be the next logical step, and frankly speaking I would have enjoyed some continuity here. But having a different actor in a role done by someone else in a preceding film isn't something new, and Cheadle stepped in confidently from the start, helped by the script which puts it in point blank terms that he's there now, and they should move on. Well said, and great job on being War Machine, in a best-friends-temporal fallout subplot which accounted for the action at the midway mark.Justin Theroux, who wrote the screenplay for Tropic Thunder, took over the scriptwriting for this film, doing the narrative justice with plenty of fan-moments, and oh-not-so subtle merchandising opportunities that Tony Stark would be proud of. The excellent casting has the brilliance of Theroux's story to thank for in keeping the many subplots in check, making Marvel fans happy through the plenty of easter eggs peppered around, coming up with an intoxication of a different sort for Tony Stark to deal with and a chance for him to go back to the drawing board, getting his hands dirty with the building of something. Action-wise, yes there is only a handful of them, but each of them brought something to the table in terms of excitement, thrills and spills. The special effects and graphics here were one up against the previous film, and it was a definite visual feast especially when suits got up against suits, warranting a second look at the film just to catch everything that's happening at the same time. The finale was a full 30 minutes worth of action end to end and features the Iron Man-War Machine tag team up, which served up a lot more than what we've all glimpsed from clips here and there. Singapore, this is yet another opportunity to be proud of with our compatriots also involved in the visual effects department, ala Kick-Ass.Iron Man 2 is set to convert the non-fan, and is crafted so that newcomers to the hero could jump right into the fun without needing to watch the first one (why haven't you!). For Marvel fans though, you have Jon Favreau to thank for whetting all our appetites in making this film the teaser to the other upcoming Marvel films such as Captain America, Thor, and I will be right there to holler Avengers Assemble! when the time comes. Stay until the end of the credits for a scene which will make you salivate. A-One!","
            3/10
            "
"Seth_Rogue_One","20 November 2016","Yet another ridiculously high rated Marvel movie, we get it Marvel fanboys you just love it when a new Marvel movie comes out, so much that you forget any flaws in it and give it a 10 or a 9 anyways.But come on seriously? Wouldn't you rather they spent a little time at actually writing a somewhat decent script and making it a bit more entertaining than to praise EVERYTHING they do to the skies just because you want a new chapter in the Marvel universe?Cause this is NOT a good movie, 35 minutes of decent at best action and 85 minutes of nonsensical blabber.Mickey Rourke was the only highlight in this movie, the scene at the racetrack with him was really cool but then he just became a wasted opportunity just like the rest of the movie.A really boring turd of a film.","
            8/10
            "
"khanbaliq2","11 June 2010","Iron Man 2 is a fine sequel. Almost the whole cast returns intact, and director Jon Favreau has more screen time in his role as Happy Hogan. Tony Stark (Robert Downey Jr.) is riding high after the events of Iron Man (2008). He has become famous worldwide, and he re-institutes the Stark Expo. But problems begin to pile up. Another wealthy industrialist wants his Iron Man technology. Then a new villain appears. Stark's relationship with his assistant Virginia Potts (Gwyneth Paltrow) is also expanded upon. There's a lot going on in the film, but its rather weak script hurts it for sure. Mickey Rourke as the villain Ivan Vanko stands out. He's more menacing than Obadiah Stane was in the first film. Vanko's first encounter with Stark leads to a thrilling fight scene. Unfortunately Rourke's character isn't fully developed. This is a problem with other characters in the film as well. Vanko is a memorable villain but if Rourke was given more screen time and his character had more of a backstory I'm sure he could have been even more memorable. Still, Rourke tried to make his character as complex as he could.The film's special effects are excellent. Some of the time, however, they're used on shootouts and explosions that don't produce much excitement. There's a lot more humour this time around. I was smiling or laughing during most of the film. Scarlett Johansson as the beautiful Natasha Romanoff gets to show off some impressive martial arts moves. It's rather funny afterwards because no one else can fight like her. Overall, the film is not as good as Iron Man. Still, it's an entertaining summer blockbuster and the performances are solid. I wasn't expecting much from the film but was pleasantly surprised. I recommend Iron Man 2.","
            8/10
            "
"blanbrn","9 May 2010","""Iron Man"" is not my favorite superhero(that place goes to Batman)nor does he rank ahead of Wonder Women still Tony Stark is an interesting cocky sucker of enough character to watch. As ""Iron Man 2"" for a sequel really delivered. As director Jon Favreau once again kept the action rolling with special effects and kick ass action sequences. Once again Robert Downey Jr. is back as Tony Stark former weapons mogul turned special agent Iron Man. This time his challenge is a Russian villain named Ivan(Mickey Rourke fresh off his classic performance in ""The Wrestler"") who wants to destroy the world with his new chemical and high tech weapons. And Sam Rockwell struts as a money hungry arms dealer.Returning is Gwyneth Paltrow as Tony's girlfriend now company CEO. And to spice up the picture a real treat of eye candy is Scarlett Johansson as Natasha who's sexy as hell! She becomes a new superhero! Really this film is a showcase for cutting edge technology that shows human inventions. And it was nice to see a cameo by Bill O' Reilly too. Overall this picture is a good treat of action and explosive technology. Probably a watch for any comic book fan.","
            7/10
            "
"masonsaul","21 November 2019","It isn't as good as the original but Iron Man 2 is still a really good sequel. Robert Downey Jr. once again gives an incredible performance and is extremely charismatic. Gwyneth Paltrow, Don Cheadle, Scarlett Johansson, Samuel L. Jackson and Sam Rockwell all give great performances. Jon Favreau's direction is really good and it's consistently funny. The CG is impressive and the music by John Denney is good. However, Mickey Rourke is wasted as a forgettable villain and the final battle is a little short.","
            8/10
            "
